frase,10,50,75,100,150,200,300,400,500,600,750,1000,base
Quando foi a batalha de Gettysburg?,8872.0676898956,12613.3844852448,12814.9721622467,12459.9986076355,11944.5161819458,12204.181432724,12393.6460018158,12890.0079727173,12255.3009986877,23810.275554657,12495.0125217438,13209.6040248871,22811.5866184235
Liste todos os musicais com músicas de Elton John.,8832.0958614349,10015.1033401489,10671.7858314514,11076.2362480164,10490.975856781,12257.7974796295,9984.3924045563,12241.9831752777,11218.1217670441,14113.9967441559,10816.796541214,10225.2655029297,13913.5248661041
Qual a altura do Farol em Colombo?,32569.463968277,25585.5505466461,26593.7550067902,26342.7667617798,26148.1249332428,26559.5467090607,28281.6834449768,26114.4738197327,26871.8204498291,32081.0418128967,26106.8840026855,26025.865316391,39708.5106372833
Quem foi a esposa do presidente americano Lincoln?,15791.4414405823,15399.7666835785,13098.5996723175,12911.3056659698,14100.9635925293,13463.3028507233,13717.0090675354,13227.5450229645,13510.1356506348,17063.4698867798,14631.12449646,14872.4966049194,17210.479259491
Quem é o apresentador do BBC Wildlife Specials?,26260.3271007538,23190.5047893524,22965.3193950653,23884.8278522491,23086.1287117004,22229.4766902924,22280.2572250366,22823.9643573761,23176.2628555298,25849.9426841736,22654.6154022217,23833.0163955688,27487.0660305023
Quanto custou Pulp Fiction?,8280.0867557526,7494.199514389,7209.5630168915,7476.8373966217,6569.0059661865,8205.8246135712,7698.8716125488,7909.0945720673,6858.5312366486,6796.8089580536,8533.4753990173,6813.5142326355,7358.386516571
Em que cidade fica a cervejaria Heineken?,13600.207567215,11751.9512176514,12971.9271659851,12050.1356124878,11459.4609737396,11183.1796169281,11143.3429718018,11704.085111618,13150.449514389,14789.1402244568,12591.4468765259,11660.8285903931,13112.6008033752
Quando começou a Operação Overlord?,5884.5715522766,5679.3973445892,5657.8891277313,6573.0023384094,5692.8815841675,5668.0746078491,6661.0565185547,5584.5034122467,5702.7812004089,5784.6431732178,5684.1456890106,5896.7406749725,5749.8252391815
Em que cidade termina a Rota 68 do Chile?,15315.9635066986,13452.6731967926,13272.1772193909,13594.5353507996,13589.0383720398,13930.8490753174,13719.4957733154,14788.9592647552,13757.7135562897,16518.3916091919,14030.2717685699,15186.4855289459,-1.0
